library,N,l2_error,max_error,rt_error
MKL,2260,3.292e-16,3.727e-16,1.035e-15
VectorFFT,2261,6.075e-16,7.572e-16,1.911e-15
MKL,2261,4.506e-16,4.590e-16,1.443e-15
VectorFFT,2262,5.837e-16,7.286e-16,1.574e-15
MKL,2262,3.078e-16,4.257e-16,1.026e-15
VectorFFT,2263,5.674e-16,9.334e-16,1.169e-15
MKL,2263,3.104e-16,3.010e-16,1.146e-15
VectorFFT,2264,5.542e-16,7.156e-16,1.594e-15
MKL,2264,4.728e-16,4.034e-16,1.576e-15
VectorFFT,2265,5.755e-16,7.765e-16,1.398e-15
MKL,2265,4.748e-16,5.738e-16,1.599e-15
VectorFFT,2266,5.464e-16,7.337e-16,1.456e-15
MKL,2266,3.219e-16,4.166e-16,1.028e-15
VectorFFT,2267,5.686e-16,7.689e-16,1.286e-15
MKL,2267,4.898e-16,4.677e-16,1.551e-15
VectorFFT,2268,5.240e-16,6.178e-16,1.666e-15
MKL,2268,2.681e-16,3.037e-16,8.688e-16
VectorFFT,2269,9.397e-16,9.925e-16,3.389e-15
MKL,2269,4.775e-16,5.172e-16,1.679e-15
VectorFFT,2270,5.516e-16,1.010e-15,1.512e-15
MKL,2270,4.818e-16,5.237e-16,1.760e-15
VectorFFT,2271,5.456e-16,6.356e-16,1.301e-15
MKL,2271,4.855e-16,5.167e-16,1.583e-15
VectorFFT,2272,5.795e-16,6.721e-16,1.396e-15
MKL,2272,2.751e-16,2.785e-16,9.181e-16
VectorFFT,2273,5.441e-16,8.785e-16,1.305e-15
MKL,2273,4.859e-16,5.982e-16,1.650e-15
VectorFFT,2274,5.675e-16,7.204e-16,1.366e-15
MKL,2274,4.765e-16,6.112e-16,1.602e-15
VectorFFT,2275,4.986e-16,5.184e-16,1.362e-15
MKL,2275,4.132e-16,3.749e-16,1.215e-15
VectorFFT,2276,5.585e-16,7.194e-16,1.538e-15
MKL,2276,4.796e-16,5.452e-16,1.595e-15
VectorFFT,2277,5.476e-16,5.408e-16,1.393e-15
MKL,2277,4.641e-16,5.572e-16,1.317e-15
VectorFFT,2278,5.604e-16,7.687e-16,1.394e-15
MKL,2278,2.894e-16,3.451e-16,1.129e-15
VectorFFT,2279,5.686e-16,7.828e-16,1.217e-15
MKL,2279,3.294e-16,3.140e-16,1.096e-15
VectorFFT,2280,5.117e-16,5.468e-16,1.235e-15
MKL,2280,2.675e-16,2.393e-16,9.477e-16
VectorFFT,2281,8.285e-16,7.959e-16,2.281e-15
MKL,2281,4.831e-16,5.170e-16,1.490e-15
VectorFFT,2282,5.727e-16,7.840e-16,1.418e-15
MKL,2282,4.705e-16,5.303e-16,1.529e-15
VectorFFT,2283,5.845e-16,7.154e-16,1.564e-15
MKL,2283,4.876e-16,4.755e-16,1.630e-15
